   level     v     J        g           E[eV]         E[cm-1]
       1     0     0        1    0.000000e+00           0.000
       2     0     1        9    1.470456e-02         118.603
       3     0     2        5    4.396333e-02         354.597
       4     0     3       21    8.751823e-02         705.900
       5     0     4        9    1.449959e-01        1169.501
       6     0     5       33    2.158758e-01        1741.200
       7     0     6       13    2.995756e-01        2416.302
       8     0     7       45    3.954123e-01        3189.297
       9     0     8       17    5.026562e-01        4054.300
      10     1     0        1    5.161825e-01        4163.400
      11     1     1        9    5.301428e-01        4276.000
      12     1     2        5    5.579391e-01        4500.198
      13     1     3       21    5.993242e-01        4834.000
      14     0     9       57    6.205002e-01        5004.801
      15     1     4        9    6.539007e-01        5274.201
      16     1     5       33    7.211975e-01        5817.000
      17     0    10       21    7.481385e-01        6034.299
      18     1     6       13    8.006439e-01        6457.795
      19     0    11       69    8.847288e-01        7136.003
      20     1     7       45    8.915966e-01        7191.397
      21     1     8       17    9.932861e-01        8011.599
      22     2     0        1    1.003080e+00        8090.597
      23     2     1        9    1.016347e+00        8197.604
      24     0    12       25    1.029489e+00        8303.600
      25     2     2        5    1.042755e+00        8410.602
      26     2     3       21    1.082057e+00        8727.604
      27     1     9       57    1.105117e+00        8913.604
      28     2     4        9    1.133757e+00        9144.603
      29     0    13       81    1.181365e+00        9528.600
      30     2     5       33    1.197482e+00        9658.596
      31     1    10       21    1.225998e+00        9888.599
      32     2     6       13    1.272863e+00       10266.596
      33     0    14       29    1.339814e+00       10806.604
      34     1    11       69    1.355435e+00       10932.603
      35     2     7       45    1.359030e+00       10961.603
      36     2     8       17    1.455240e+00       11737.604
      37     3     0        1    1.461438e+00       11787.599
      38     3     1        9    1.474085e+00       11889.604
      39     1    12       25    1.492434e+00       12037.602
      40     3     2        5    1.499005e+00       12090.601
      41     0    15       93    1.503964e+00       12130.597
      42     3     3       21    1.536074e+00       12389.595
      43     2     9       57    1.560995e+00       12590.602
      44     3     4        9    1.585048e+00       12784.604
      45     1    13       81    1.636252e+00       13197.601
      46     3     5       33    1.645426e+00       13271.601
      47     0    16       33    1.672826e+00       13492.601
      48     2    10       21    1.675430e+00       13513.600
      49     3     6       13    1.716591e+00       13845.598
      50     1    14       29    1.786145e+00       14406.603
      51     2    11       69    1.797799e+00       14500.599
      52     3     7       45    1.798047e+00       14502.605
      53     0    17      105    1.846027e+00       14889.596
      54     3     8       17    1.888925e+00       15235.601
      55     2    12       25    1.927235e+00       15544.600
      56     1    15       93    1.941245e+00       15657.599
      57     3     9       57    1.988853e+00       16041.597
      58     0    18       37    2.022577e+00       16313.603
      59     2    13       81    2.062995e+00       16639.604
      60     3    10       21    2.096717e+00       16911.597
      61     1    16       33    2.100808e+00       16944.596
      62     2    14       29    2.204332e+00       17779.598
      63     3    11       69    2.212020e+00       17841.601
      64     1    17      105    2.264216e+00       18262.604
      65     3    12       25    2.334016e+00       18825.597
      66     2    15       93    2.350506e+00       18958.596
      67     1    18       37    2.430598e+00       19604.603
      68     3    13       81    2.461717e+00       19855.596
      69     2    16       33    2.500771e+00       20170.596
      70     3    14       29    2.594625e+00       20927.602
      71     2    17      105    2.654508e+00       21410.605
      72     3    15       93    2.731872e+00       22034.601
      73     2    18       37    2.810847e+00       22671.596
      74     3    16       33    2.872714e+00       23170.599
      75     3    17      105    3.016532e+00       24330.598
      76     3    18       37    3.162705e+00       25509.597
