# Differential cross section		
# Author: P. Swaczyna	Princeton University	(swaczyna@princeton.edu)
# Date: 	Fri 4 Dec 2020 10:36:29	
# 		
# Elastic collision: He^0 + He^0 -> He^0 + He^0		
# 		
# Red. mass: 	1.8642000787E+9	 eV/c^2
# CM energy: 	1.4454397707E-3	 eV
# Rel speed: 	3.7332703386E+4	 cm/s
# Tot sigma: 	1.4853874695E+2	 a.u.
# Int sigma: 	1.4853874695E+2	 a.u.
# 		
# Columns:		
# the <- scattering angle (rad)		
# dcs <- dsigma/dOmega*2*pi*sin(the) (a.u. = 2.8002852056E-17 cm^2)		
# wei <- weight for cross section integration (approx. width of angle bin)		
# 		
# the	dcs	wei
7.6907532846E-6	3.6996163334E-3	1.9736940383E-5
4.0521979771E-5	1.9492990101E-2	4.5943520243E-5
9.9587300392E-5	4.7906203810E-2	7.2188137769E-5
1.8489884726E-4	8.8945089422E-2	9.8434919423E-5
2.9645680168E-4	1.4260972247E-1	1.2468073282E-4
4.3425968311E-4	2.0889936538E-1	1.5092466531E-4
5.9830531657E-4	2.8781292471E-1	1.7716615272E-4
7.8859101285E-4	3.7934902790E-1	2.0340471372E-4
1.0051136166E-3	4.8350603448E-1	2.2963989267E-4
1.2478695220E-3	6.0028203000E-1	2.5587124334E-4
1.5168546797E-3	7.2967481332E-1	2.8209832342E-4
1.8120645986E-3	8.7168188046E-1	3.0832069259E-4
2.1334943481E-3	1.0263004058E+0	3.3453791144E-4
2.4811385584E-3	1.1935272212E+0	3.6074954110E-4
2.8549914211E-3	1.3733587929E+0	3.8695514312E-4
3.2550466893E-3	1.5657911968E+0	4.1315427928E-4
3.6812976783E-3	1.7708200915E+0	4.3934651156E-4
4.1337372652E-3	1.9884406899E+0	4.6553140213E-4
4.6123578895E-3	2.2186477283E+0	4.9170851331E-4
5.1171515529E-3	2.4614354344E+0	5.1787740760E-4
5.6481098199E-3	2.7167974929E+0	5.4403764760E-4
6.2052238176E-3	2.9847270098E+0	5.7018879612E-4
6.7884842360E-3	3.2652164741E+0	5.9633041614E-4
7.3978813281E-3	3.5582577189E+0	6.2246207073E-4
8.0334049101E-3	3.8638418791E+0	6.4858332323E-4
8.6950443616E-3	4.1819593494E+0	6.7469373705E-4
9.3827886258E-3	4.5125997384E+0	7.0079287589E-4
1.0096626210E-2	4.8557518225E+0	7.2688030358E-4
1.0836545184E-2	5.2114034976E+0	7.5295558414E-4
1.1602533184E-2	5.5795417288E+0	7.7901828182E-4
1.2394577408E-2	5.9601524988E+0	8.0506796108E-4
1.3212664621E-2	6.3532207545E+0	8.3110418659E-4
1.4056781152E-2	6.7587303520E+0	8.5712652325E-4
1.4926912893E-2	7.1766639998E+0	8.8313453619E-4
1.5823045305E-2	7.6070032006E+0	9.0912779076E-4
1.6745163410E-2	8.0497281915E+0	9.3510585261E-4
1.7693251801E-2	8.5048178828E+0	9.6106828758E-4
1.8667294632E-2	8.9722497944E+0	9.8701466182E-4
1.9667275626E-2	9.4519999921E+0	1.0129445417E-3
2.0693178073E-2	9.9440430215E+0	1.0388574939E-3
2.1744984827E-2	1.0448351840E+1	1.0647530855E-3
2.2822678313E-2	1.0964897750E+1	1.0906308836E-3
2.3926240519E-2	1.1493650326E+1	1.1164904558E-3
2.5055653005E-2	1.2034577346E+1	1.1423313699E-3
2.6210896896E-2	1.2587644715E+1	1.1681531941E-3
2.7391952886E-2	1.3152816396E+1	1.1939554970E-3
2.8598801239E-2	1.3730054330E+1	1.2197378472E-3
2.9831421786E-2	1.4319318364E+1	1.2454998140E-3
3.1089793929E-2	1.4920566170E+1	1.2712409668E-3
3.2373896638E-2	1.5533753167E+1	1.2969608754E-3
3.3683708455E-2	1.6158832442E+1	1.3226591101E-3
3.5019207490E-2	1.6795754670E+1	1.3483352414E-3
3.6380371427E-2	1.7444468033E+1	1.3739888402E-3
3.7767177517E-2	1.8104918133E+1	1.3996194778E-3
3.9179602586E-2	1.8777047916E+1	1.4252267258E-3
4.0617623030E-2	1.9460797580E+1	1.4508101565E-3
4.2081214817E-2	2.0156104497E+1	1.4763693421E-3
4.3570353490E-2	2.0862903124E+1	1.5019038556E-3
4.5085014162E-2	2.1581124919E+1	1.5274132703E-3
4.6625171522E-2	2.2310698253E+1	1.5528971598E-3
4.8190799831E-2	2.3051548323E+1	1.5783550984E-3
4.9781872927E-2	2.3803597067E+1	1.6037866605E-3
5.1398364219E-2	2.4566763074E+1	1.6291914212E-3
5.3040246694E-2	2.5340961498E+1	1.6545689559E-3
5.4707492914E-2	2.6126103969E+1	1.6799188405E-3
5.6400075017E-2	2.6922098506E+1	1.7052406515E-3
5.8117964718E-2	2.7728849431E+1	1.7305339655E-3
5.9861133308E-2	2.8546257276E+1	1.7557983600E-3
6.1629551657E-2	2.9374218702E+1	1.7810334128E-3
6.3423190212E-2	3.0212626406E+1	1.8062387021E-3
6.5242019000E-2	3.1061369040E+1	1.8314138067E-3
6.7086007624E-2	3.1920331121E+1	1.8565583060E-3
6.8955125270E-2	3.2789392946E+1	1.8816717796E-3
