# Differential cross section		
# Author: P. Swaczyna	Princeton University	(swaczyna@princeton.edu)
# Date: 	Wed 17 Feb 2021 15:35:11	
# 		
# Charge transfer collision: He^0 + He^+ -> He^+ + He^0		
# 		
# Red. mass: 	1.8640723202E+9	 eV/c^2
# CM energy: 	1.1220184543E+0	 eV
# Rel speed: 	1.0401699952E+6	 cm/s
# Tot sigma: 	N/A	 a.u.
# Int sigma: 	9.7789057153E+1	 a.u.
# 		
# Columns:		
# the <- scattering angle (rad)		
# dcs <- dsigma/dOmega*2*pi*sin(the) (a.u. = 2.8002852056E-17 cm^2)		
# wei <- weight for cross section integration (approx. width of angle bin)		
# 		
# the	dcs	wei
7.6907532846E-6	7.4304561932E-4	1.9736940383E-5
4.0521979771E-5	3.9150293628E-3	4.5943520243E-5
9.9587300392E-5	9.6213644934E-3	7.2188137769E-5
1.8489884726E-4	1.7862108168E-2	9.8434919423E-5
2.9645680168E-4	2.8634148028E-2	1.2468073282E-4
4.3425968311E-4	4.1930541011E-2	1.5092466531E-4
5.9830531657E-4	5.7738447709E-2	1.7716615272E-4
7.8859101285E-4	7.6036495101E-2	2.0340471372E-4
1.0051136166E-3	9.6791645726E-2	2.2963989267E-4
1.2478695220E-3	1.1995560714E-1	2.5587124334E-4
1.5168546797E-3	1.4546082063E-1	2.8209832342E-4
1.8120645986E-3	1.7321608302E-1	3.0832069259E-4
2.1334943481E-3	2.0310187547E-1	3.3453791144E-4
2.4811385584E-3	2.3496549775E-1	3.6074954110E-4
2.8549914211E-3	2.6861613533E-1	3.8695514312E-4
3.2550466893E-3	3.0382001980E-1	4.1315427928E-4
3.6812976783E-3	3.4029587932E-1	4.3934651156E-4
4.1337372652E-3	3.7771091529E-1	4.6553140213E-4
4.6123578895E-3	4.1567758163E-1	4.9170851331E-4
5.1171515529E-3	4.5375148303E-1	5.1787740760E-4
5.6481098199E-3	4.9143074557E-1	5.4403764760E-4
6.2052238176E-3	5.2815724398E-1	5.7018879612E-4
6.7884842360E-3	5.6332009122E-1	5.9633041614E-4
7.3978813281E-3	5.9626180370E-1	6.2246207073E-4
8.0334049101E-3	6.2628754400E-1	6.4858332323E-4
8.6950443616E-3	6.5267780843E-1	6.7469373705E-4
9.3827886258E-3	6.7470486180E-1	7.0079287589E-4
1.0096626210E-2	6.9165312391E-1	7.2688030358E-4
1.0836545184E-2	7.0284357353E-1	7.5295558414E-4
1.1602533184E-2	7.0766205560E-1	7.7901828182E-4
1.2394577408E-2	7.0559115158E-1	8.0506796108E-4
1.3212664621E-2	6.9624500314E-1	8.3110418659E-4
1.4056781152E-2	6.7940616937E-1	8.5712652325E-4
1.4926912893E-2	6.5506325361E-1	8.8313453619E-4
1.5823045305E-2	6.2344767266E-1	9.0912779076E-4
1.6745163410E-2	5.8506757357E-1	9.3510585261E-4
1.7693251801E-2	5.4073655698E-1	9.6106828758E-4
1.8667294632E-2	4.9159456944E-1	9.8701466182E-4
1.9667275626E-2	4.3911811547E-1	1.0129445417E-3
2.0693178073E-2	3.8511685209E-1	1.0388574939E-3
2.1744984827E-2	3.3171370651E-1	1.0647530855E-3
2.2822678313E-2	2.8130594336E-1	1.0906308836E-3
2.3926240519E-2	2.3650513909E-1	1.1164904558E-3
2.5055653005E-2	2.0005482913E-1	1.1423313699E-3
2.6210896896E-2	1.7472569583E-1	1.1681531941E-3
2.7391952886E-2	1.6318955958E-1	1.1939554970E-3
2.8598801239E-2	1.6787509837E-1	1.2197378472E-3
2.9831421786E-2	1.9081009494E-1	1.2454998140E-3
3.1089793929E-2	2.3345700774E-1	1.2712409668E-3
3.2373896638E-2	2.9655065515E-1	1.2969608754E-3
3.3683708455E-2	3.7994862970E-1	1.3226591101E-3
3.5019207490E-2	4.8250652787E-1	1.3483352414E-3
3.6380371427E-2	6.0199097238E-1	1.3739888402E-3
3.7767177517E-2	7.3504349413E-1	1.3996194778E-3
3.9179602586E-2	8.7720741303E-1	1.4252267258E-3
4.0617623030E-2	1.0230277318E+0	1.4508101565E-3
4.2081214817E-2	1.1662306169E+0	1.4763693421E-3
4.3570353490E-2	1.2999842618E+0	1.5019038556E-3
4.5085014162E-2	1.4172369166E+0	1.5274132703E-3
4.6625171522E-2	1.5111208628E+0	1.5528971598E-3
4.8190799831E-2	1.5754035447E+0	1.5783550984E-3
4.9781872927E-2	1.6049595043E+0	1.6037866605E-3
5.1398364219E-2	1.5962299561E+0	1.6291914212E-3
5.3040246694E-2	1.5476316153E+0	1.6545689559E-3
5.4707492914E-2	1.4598736606E+0	1.6799188405E-3
5.6400075017E-2	1.3361423288E+0	1.7052406515E-3
5.8117964718E-2	1.1821172996E+0	1.7305339655E-3
5.9861133308E-2	1.0057931825E+0	1.7557983600E-3
6.1629551657E-2	8.1709308476E-1	1.7810334128E-3
6.3423190212E-2	6.2727896039E-1	1.8062387021E-3
6.5242019000E-2	4.4818414172E-1	1.8314138067E-3
6.7086007624E-2	2.9131547999E-1	1.8565583060E-3
6.8955125270E-2	1.6689363681E-1	1.8816717796E-3
7.0849340702E-2	8.2917631281E-2	1.9067538080E-3
7.2768622264E-2	4.4350930948E-2	1.9318039720E-3
7.4712937885E-2	5.2528492466E-2	1.9568218529E-3
7.6682255070E-2	1.0487506223E-1	1.9818070327E-3
7.8676540910E-2	1.9500354922E-1	2.0067590939E-3
8.0695762079E-2	3.1322856041E-1	2.0316776194E-3
8.2739884832E-2	4.4748609593E-1	2.0565621928E-3
8.4808875009E-2	5.8459961608E-1	2.0814123983E-3
8.6902698034E-2	7.1178063470E-1	2.1062278206E-3
8.9021318917E-2	8.1820545949E-1	2.1310080450E-3
9.1164702253E-2	8.9647618296E-1	2.1557526574E-3
9.3332812224E-2	9.4376076969E-1	2.1804612443E-3
9.5525612596E-2	9.6241991425E-1	2.2051333928E-3
9.7743066726E-2	9.5997044981E-1	2.2297686905E-3
9.9985137556E-2	9.4830591367E-1	2.2543667257E-3
1.0225178762E-1	9.4218934373E-1	2.2789270875E-3
1.0454297904E-1	9.5714167773E-1	2.3034493653E-3
1.0685867352E-1	1.0069572266E+0	2.3279331494E-3
1.0919883237E-1	1.1011687227E+0	2.3523780306E-3
1.1156341648E-1	1.2428408648E+0	2.3767836004E-3
1.1395238633E-1	1.4270777100E+0	2.4011494510E-3
1.1636570200E-1	1.6405755623E+0	2.4254751751E-3
1.1880332317E-1	1.8624371998E+0	2.4497603662E-3
1.2126520909E-1	2.0662936057E+0	2.4740046186E-3
1.2375131862E-1	2.2235749848E+0	2.4982075270E-3
1.2626161023E-1	2.3075626900E+0	2.5223686871E-3
1.2879604195E-1	2.2976731262E+0	2.5464876949E-3
1.3135457143E-1	2.1833104323E+0	2.5705641475E-3
1.3393715592E-1	1.9666080475E+0	2.5945976426E-3
1.3654375226E-1	1.6634791192E+0	2.6185877784E-3
1.3917431689E-1	1.3026125959E+0	2.6425341541E-3
1.4182880585E-1	9.2236418064E-1	2.6664363695E-3
1.4450717478E-1	5.6585535426E-1	2.6902940251E-3
1.4720937892E-1	2.7494813666E-1	2.7141067224E-3
1.4993537310E-1	8.4038411037E-2	2.7378740632E-3
1.5268511179E-1	1.4741080772E-2	2.7615956505E-3
