# Differential cross section		
# Author: P. Swaczyna	Princeton University	(swaczyna@princeton.edu)
# Date: 	Wed 17 Feb 2021 15:27:33	
# 		
# Charge transfer collision: He^0 + He^+ -> He^+ + He^0		
# 		
# Red. mass: 	1.8640723202E+9	 eV/c^2
# CM energy: 	1.6982436525E-3	 eV
# Rel speed: 	4.0467308662E+4	 cm/s
# Tot sigma: 	N/A	 a.u.
# Int sigma: 	3.8147129523E+1	 a.u.
# 		
# Columns:		
# the <- scattering angle (rad)		
# dcs <- dsigma/dOmega*2*pi*sin(the) (a.u. = 2.8002852056E-17 cm^2)		
# wei <- weight for cross section integration (approx. width of angle bin)		
# 		
# the	dcs	wei
7.6907532846E-6	1.8463369573E-4	1.9736940383E-5
4.0521979771E-5	9.7282054999E-4	4.5943520243E-5
9.9587300392E-5	2.3908153042E-3	7.2188137769E-5
1.8489884726E-4	4.4389089033E-3	9.8434919423E-5
2.9645680168E-4	7.1171048189E-3	1.2468073282E-4
4.3425968311E-4	1.0425365594E-2	1.5092466531E-4
5.9830531657E-4	1.4363635456E-2	1.7716615272E-4
7.8859101285E-4	1.8931843893E-2	2.0340471372E-4
1.0051136166E-3	2.4129905908E-2	2.2963989267E-4
1.2478695220E-3	2.9957721368E-2	2.5587124334E-4
1.5168546797E-3	3.6415173969E-2	2.8209832342E-4
1.8120645986E-3	4.3502129981E-2	3.0832069259E-4
2.1334943481E-3	5.1218436822E-2	3.3453791144E-4
2.4811385584E-3	5.9563921463E-2	3.6074954110E-4
2.8549914211E-3	6.8538388698E-2	3.8695514312E-4
3.2550466893E-3	7.8141619269E-2	4.1315427928E-4
3.6812976783E-3	8.8373367842E-2	4.3934651156E-4
4.1337372652E-3	9.9233360856E-2	4.6553140213E-4
4.6123578895E-3	1.1072129423E-1	4.9170851331E-4
5.1171515529E-3	1.2283683092E-1	5.1787740760E-4
5.6481098199E-3	1.3557959840E-1	5.4403764760E-4
6.2052238176E-3	1.4894918590E-1	5.7018879612E-4
6.7884842360E-3	1.6294514166E-1	5.9633041614E-4
7.3978813281E-3	1.7756696991E-1	6.2246207073E-4
8.0334049101E-3	1.9281412786E-1	6.4858332323E-4
8.6950443616E-3	2.0868602245E-1	6.7469373705E-4
9.3827886258E-3	2.2518200708E-1	7.0079287589E-4
1.0096626210E-2	2.4230137815E-1	7.2688030358E-4
1.0836545184E-2	2.6004337152E-1	7.5295558414E-4
1.1602533184E-2	2.7840715890E-1	7.7901828182E-4
1.2394577408E-2	2.9739184406E-1	8.0506796108E-4
1.3212664621E-2	3.1699645901E-1	8.3110418659E-4
1.4056781152E-2	3.3721996006E-1	8.5712652325E-4
1.4926912893E-2	3.5806122379E-1	8.8313453619E-4
1.5823045305E-2	3.7951904297E-1	9.0912779076E-4
1.6745163410E-2	4.0159212236E-1	9.3510585261E-4
1.7693251801E-2	4.2427907451E-1	9.6106828758E-4
1.8667294632E-2	4.4757841546E-1	9.8701466182E-4
1.9667275626E-2	4.7148856040E-1	1.0129445417E-3
2.0693178073E-2	4.9600781932E-1	1.0388574939E-3
2.1744984827E-2	5.2113439259E-1	1.0647530855E-3
2.2822678313E-2	5.4686636656E-1	1.0906308836E-3
2.3926240519E-2	5.7320170916E-1	1.1164904558E-3
2.5055653005E-2	6.0013826547E-1	1.1423313699E-3
2.6210896896E-2	6.2767375337E-1	1.1681531941E-3
2.7391952886E-2	6.5580575915E-1	1.1939554970E-3
2.8598801239E-2	6.8453173325E-1	1.2197378472E-3
2.9831421786E-2	7.1384898604E-1	1.2454998140E-3
3.1089793929E-2	7.4375468361E-1	1.2712409668E-3
3.2373896638E-2	7.7424584377E-1	1.2969608754E-3
3.3683708455E-2	8.0531933212E-1	1.3226591101E-3
3.5019207490E-2	8.3697185818E-1	1.3483352414E-3
3.6380371427E-2	8.6919997184E-1	1.3739888402E-3
3.7767177517E-2	9.0200005977E-1	1.3996194778E-3
3.9179602586E-2	9.3536834224E-1	1.4252267258E-3
4.0617623030E-2	9.6930086993E-1	1.4508101565E-3
4.2081214817E-2	1.0037935212E+0	1.4763693421E-3
4.3570353490E-2	1.0388419994E+0	1.5019038556E-3
4.5085014162E-2	1.0744418307E+0	1.5274132703E-3
4.6625171522E-2	1.1105883618E+0	1.5528971598E-3
4.8190799831E-2	1.1472767586E+0	1.5783550984E-3
4.9781872927E-2	1.1845020046E+0	1.6037866605E-3
5.1398364219E-2	1.2222589000E+0	1.6291914212E-3
5.3040246694E-2	1.2605420610E+0	1.6545689559E-3
5.4707492914E-2	1.2993459200E+0	1.6799188405E-3
5.6400075017E-2	1.3386647254E+0	1.7052406515E-3
5.8117964718E-2	1.3784925425E+0	1.7305339655E-3
5.9861133308E-2	1.4188232549E+0	1.7557983600E-3
6.1629551657E-2	1.4596505660E+0	1.7810334128E-3
6.3423190212E-2	1.5009680011E+0	1.8062387021E-3
6.5242019000E-2	1.5427689108E+0	1.8314138067E-3
6.7086007624E-2	1.5850464735E+0	1.8565583060E-3
6.8955125270E-2	1.6277937001E+0	1.8816717796E-3
7.0849340702E-2	1.6710034381E+0	1.9067538080E-3
7.2768622264E-2	1.7146683770E+0	1.9318039720E-3
7.4712937885E-2	1.7587810540E+0	1.9568218529E-3
7.6682255070E-2	1.8033338605E+0	1.9818070327E-3
7.8676540910E-2	1.8483190491E+0	2.0067590939E-3
8.0695762079E-2	1.8937287417E+0	2.0316776194E-3
8.2739884832E-2	1.9395549376E+0	2.0565621928E-3
8.4808875009E-2	1.9857895228E+0	2.0814123983E-3
8.6902698034E-2	2.0324242801E+0	2.1062278206E-3
8.9021318917E-2	2.0794508991E+0	2.1310080450E-3
9.1164702253E-2	2.1268609879E+0	2.1557526574E-3
9.3332812224E-2	2.1746460848E+0	2.1804612443E-3
9.5525612596E-2	2.2227976708E+0	2.2051333928E-3
9.7743066726E-2	2.2713071829E+0	2.2297686905E-3
9.9985137556E-2	2.3201660282E+0	2.2543667257E-3
1.0225178762E-1	2.3693655980E+0	2.2789270875E-3
1.0454297904E-1	2.4188972830E+0	2.3034493653E-3
1.0685867352E-1	2.4687524895E+0	2.3279331494E-3
1.0919883237E-1	2.5189226549E+0	2.3523780306E-3
1.1156341648E-1	2.5693992650E+0	2.3767836004E-3
1.1395238633E-1	2.6201738711E+0	2.4011494510E-3
1.1636570200E-1	2.6712381080E+0	2.4254751751E-3
1.1880332317E-1	2.7225837115E+0	2.4497603662E-3
1.2126520909E-1	2.7742025375E+0	2.4740046186E-3
1.2375131862E-1	2.8260865808E+0	2.4982075270E-3
1.2626161023E-1	2.8782279939E+0	2.5223686871E-3
1.2879604195E-1	2.9306191065E+0	2.5464876949E-3
1.3135457143E-1	2.9832524449E+0	2.5705641475E-3
1.3393715592E-1	3.0361207519E+0	2.5945976426E-3
1.3654375226E-1	3.0892170058E+0	2.6185877784E-3
1.3917431689E-1	3.1425344410E+0	2.6425341541E-3
1.4182880585E-1	3.1960665664E+0	2.6664363695E-3
1.4450717478E-1	3.2498071857E+0	2.6902940251E-3
1.4720937892E-1	3.3037504163E+0	2.7141067224E-3
1.4993537310E-1	3.3578907082E+0	2.7378740632E-3
1.5268511179E-1	3.4122228626E+0	2.7615956505E-3
1.5545854902E-1	3.4667420503E+0	2.7852710878E-3
1.5825563845E-1	3.5214438292E+0	2.8088999795E-3
1.6107633333E-1	3.5763241618E+0	2.8324819307E-3
1.6392058653E-1	3.6313794317E+0	2.8560165473E-3
1.6678835052E-1	3.6866064600E+0	2.8795034361E-3
1.6967957737E-1	3.7420025202E+0	2.9029422044E-3
1.7259421876E-1	3.7975653532E+0	2.9263324607E-3
1.7553222599E-1	3.8532931812E+0	2.9496738141E-3
1.7849354996E-1	3.9091847209E+0	2.9729658744E-3
1.8147814117E-1	3.9652391957E+0	2.9962082525E-3
1.8448594977E-1	4.0214563470E+0	3.0194005599E-3
1.8751692548E-1	4.0778364451E+0	3.0425424091E-3
1.9057101764E-1	4.1343802990E+0	3.0656334132E-3
1.9364817522E-1	4.1910892647E+0	3.0886731866E-3
1.9674834681E-1	4.2479652537E+0	3.1116613440E-3
1.9987148058E-1	4.3050107399E+0	3.1345975014E-3
2.0301752435E-1	4.3622287657E+0	3.1574812755E-3
2.0618642554E-1	4.4196229479E+0	3.1803122838E-3
2.0937813120E-1	4.4771974815E+0	3.2030901448E-3
2.1259258799E-1	4.5349571443E+0	3.2258144779E-3
2.1582974219E-1	4.5929072999E+0	3.2484849032E-3
2.1908953970E-1	4.6510538998E+0	3.2711010421E-3
2.2237192605E-1	4.7094034856E+0	3.2936625164E-3
2.2567684639E-1	4.7679631904E+0	3.3161689492E-3
2.2900424548E-1	4.8267407395E+0	3.3386199643E-3
2.3235406772E-1	4.8857444507E+0	3.3610151867E-3
2.3572625713E-1	4.9449832347E+0	3.3833542419E-3
2.3912075735E-1	5.0044665947E+0	3.4056367567E-3
2.4253751167E-1	5.0642046260E+0	3.4278623588E-3
2.4597646298E-1	5.1242080153E+0	3.4500306767E-3
2.4943755380E-1	5.1844880404E+0	3.4721413399E-3
2.5292072631E-1	5.2450565691E+0	3.4941939790E-3
2.5642592230E-1	5.3059260585E+0	3.5161882254E-3
2.5995308318E-1	5.3671095545E+0	3.5381237115E-3
2.6350215001E-1	5.4286206910E+0	3.5600000709E-3
2.6707306349E-1	5.4904736893E+0	3.5818169379E-3
2.7066576394E-1	5.5526833576E+0	3.6035739479E-3
2.7428019131E-1	5.6152650900E+0	3.6252707373E-3
2.7791628522E-1	5.6782348666E+0	3.6469069436E-3
2.8157398488E-1	5.7416092520E+0	3.6684822051E-3
2.8525322919E-1	5.8054053945E+0	3.6899961614E-3
2.8895395665E-1	5.8696410252E+0	3.7114484529E-3
2.9267610542E-1	5.9343344552E+0	3.7328387211E-3
2.9641961330E-1	5.9995045740E+0	3.7541666086E-3
3.0018441773E-1	6.0651708452E+0	3.7754317588E-3
3.0397045579E-1	6.1313533020E+0	3.7966338166E-3
3.0777766421E-1	6.1980725414E+0	3.8177724274E-3
3.1160597938E-1	6.2653497159E+0	3.8388472382E-3
3.1545533730E-1	6.3332065234E+0	3.8598578967E-3
3.1932567367E-1	6.4016651949E+0	3.8808040517E-3
3.2321692379E-1	6.4707484789E+0	3.9016853533E-3
3.2712902264E-1	6.5404796228E+0	3.9225014525E-3
3.3106190484E-1	6.6108823499E+0	3.9432520014E-3
3.3501550468E-1	6.6819808328E+0	3.9639366533E-3
3.3898975607E-1	6.7537996615E+0	3.9845550624E-3
3.4298459261E-1	6.8263638066E+0	4.0051068843E-3
3.4699994753E-1	6.8996985759E+0	4.0255917754E-3
3.5103575373E-1	6.9738295655E+0	4.0460093936E-3
3.5509194378E-1	7.0487826035E+0	4.0663593974E-3
3.5916844988E-1	7.1245836855E+0	4.0866414469E-3
3.6326520391E-1	7.2012589037E+0	4.1068552032E-3
3.6738213741E-1	7.2788343658E+0	4.1270003283E-3
3.7151918157E-1	7.3573361059E+0	4.1470764858E-3
3.7567626728E-1	7.4367899856E+0	4.1670833400E-3
3.7985332504E-1	7.5172215850E+0	4.1870205567E-3
3.8405028507E-1	7.5986560843E+0	4.2068878026E-3
3.8826707721E-1	7.6811181337E+0	4.2266847457E-3
3.9250363101E-1	7.7646317137E+0	4.2464110553E-3
3.9675987567E-1	7.8492199839E+0	4.2660664016E-3
4.0103574005E-1	7.9349051213E+0	4.2856504563E-3
4.0533115271E-1	8.0217081478E+0	4.3051628919E-3
4.0964604185E-1	8.1096487466E+0	4.3246033825E-3
4.1398033538E-1	8.1987450693E+0	4.3439716031E-3
4.1833396086E-1	8.2890135317E+0	4.3632672302E-3
4.2270684554E-1	8.3804686020E+0	4.3824899412E-3
4.2709891633E-1	8.4731225785E+0	4.4016394148E-3
4.3151009985E-1	8.5669853616E+0	4.4207153312E-3
4.3594032237E-1	8.6620642170E+0	4.4397173715E-3
4.4038950986E-1	8.7583635349E+0	4.4586452181E-3
4.4485758797E-1	8.8558845840E+0	4.4774985548E-3
4.4934448203E-1	8.9546252631E+0	4.4962770664E-3
4.5385011706E-1	9.0545798513E+0	4.5149804392E-3
4.5837441776E-1	9.1557387591E+0	4.5336083606E-3
4.6291730852E-1	9.2580882815E+0	4.5521605193E-3
4.6747871344E-1	9.3616103561E+0	4.5706366053E-3
4.7205855627E-1	9.4662823281E+0	4.5890363098E-3
4.7665676049E-1	9.5720767236E+0	4.6073593254E-3
4.8127324926E-1	9.6789610354E+0	4.6256053458E-3
4.8590794542E-1	9.7868975217E+0	4.6437740661E-3
4.9056077152E-1	9.8958430226E+0	4.6618651826E-3
4.9523164982E-1	1.0005748795E+1	4.6798783932E-3
4.9992050224E-1	1.0116560368E+1	4.6978133967E-3
5.0462725044E-1	1.0228217428E+1	4.7156698934E-3
5.0935181576E-1	1.0340653723E+1	4.7334475849E-3
5.1409411924E-1	1.0453797002E+1	4.7511461741E-3
5.1885408164E-1	1.0567568989E+1	4.7687653653E-3
5.2363162341E-1	1.0681885382E+1	4.7863048641E-3
5.2842666471E-1	1.0796655903E+1	4.8037643772E-3
5.3323912540E-1	1.0911784370E+1	4.8211436130E-3
5.3806892508E-1	1.1027168830E+1	4.8384422809E-3
5.4291598301E-1	1.1142701715E+1	4.8556600920E-3
5.4778021821E-1	1.1258270057E+1	4.8727967585E-3
5.5266154939E-1	1.1373755742E+1	4.8898519940E-3
5.5755989496E-1	1.1489035809E+1	4.9068255135E-3
5.6247517308E-1	1.1603982804E+1	4.9237170334E-3
5.6740730160E-1	1.1718465167E+1	4.9405262713E-3
5.7235619810E-1	1.1832347683E+1	4.9572529464E-3
5.7732177988E-1	1.1945491966E+1	4.9738967791E-3
5.8230396395E-1	1.2057756992E+1	4.9904574913E-3
