# Differential cross section		
# Author: P. Swaczyna	Princeton University	(swaczyna@princeton.edu)
# Date: 	Wed 17 Feb 2021 11:43:58	
# 		
# Elastic collision: He^0 + He^+ -> He^0 + He^+		
# 		
# Red. mass: 	1.8640723202E+9	 eV/c^2
# CM energy: 	6.3095734448E+2	 eV
# Rel speed: 	2.4666317761E+7	 cm/s
# Tot sigma: 	N/A	 a.u.
# Int sigma: 	8.7315017902E+1	 a.u.
# 		
# Columns:		
# the <- scattering angle (rad)		
# dcs <- dsigma/dOmega*2*pi*sin(the) (a.u. = 2.8002852056E-17 cm^2)		
# wei <- weight for cross section integration (approx. width of angle bin)		
# 		
# the	dcs	wei
7.6907532846E-6	8.6763050977E+2	1.9736940383E-5
4.0521979771E-5	4.5567024314E+3	4.5943520243E-5
9.9587300392E-5	1.1038226528E+4	7.2188137769E-5
1.8489884726E-4	1.9892076892E+4	9.8434919423E-5
2.9645680168E-4	3.0334625154E+4	1.2468073282E-4
4.3425968311E-4	4.0900020349E+4	1.5092466531E-4
5.9830531657E-4	4.9464835235E+4	1.7716615272E-4
7.8859101285E-4	5.3479898138E+4	2.0340471372E-4
1.0051136166E-3	5.0777341327E+4	2.2963989267E-4
1.2478695220E-3	4.0844389058E+4	2.5587124334E-4
1.5168546797E-3	2.5982721896E+4	2.8209832342E-4
1.8120645986E-3	1.1219117124E+4	3.0832069259E-4
2.1334943481E-3	2.0583186625E+3	3.3453791144E-4
2.4811385584E-3	7.8675786053E+2	3.6074954110E-4
2.8549914211E-3	4.4506196502E+3	3.8695514312E-4
3.2550466893E-3	7.2536710114E+3	4.1315427928E-4
3.6812976783E-3	5.8843644430E+3	4.3934651156E-4
4.1337372652E-3	2.2258149289E+3	4.6553140213E-4
4.6123578895E-3	2.5040300650E+2	4.9170851331E-4
5.1171515529E-3	1.0118102919E+3	5.1787740760E-4
5.6481098199E-3	2.0830380861E+3	5.4403764760E-4
6.2052238176E-3	1.5273174337E+3	5.7018879612E-4
6.7884842360E-3	3.1743543817E+2	5.9633041614E-4
7.3978813281E-3	1.8645939995E+2	6.2246207073E-4
8.0334049101E-3	9.4374583133E+2	6.4858332323E-4
8.6950443616E-3	1.2467225270E+3	6.7469373705E-4
9.3827886258E-3	8.1227831039E+2	7.0079287589E-4
1.0096626210E-2	4.3518561510E+2	7.2688030358E-4
