# Differential cross section		
# Author: P. Swaczyna	Princeton University	(swaczyna@princeton.edu)
# Date: 	Wed 17 Feb 2021 07:12:57	
# 		
# Indistinguishable particle collision: He^0 + He^+ -> He^0 + He^+		
# 		
# Red. mass: 	1.8640723202E+9	 eV/c^2
# CM energy: 	5.0118723363E+3	 eV
# Rel speed: 	6.9519128956E+7	 cm/s
# Tot sigma: 	5.7158344270E+1	 a.u.
# Int sigma: 	5.7157687475E+1	 a.u.
# 		
# Columns:		
# the <- scattering angle (rad)		
# dcs <- dsigma/dOmega*2*pi*sin(the) (a.u. = 2.8002852056E-17 cm^2)		
# wei <- weight for cross section integration (approx. width of angle bin)		
# 		
# the	dcs	wei
7.6907532846E-6	1.6023220210E+3	1.9736940383E-5
4.0521979771E-5	8.2870386085E+3	4.5943520243E-5
9.9587300392E-5	1.9150115077E+4	7.2188137769E-5
1.8489884726E-4	3.1499745235E+4	9.8434919423E-5
2.9645680168E-4	4.0309528529E+4	1.2468073282E-4
4.3425968311E-4	3.9692210792E+4	1.5092466531E-4
5.9830531657E-4	2.7577734865E+4	1.7716615272E-4
7.8859101285E-4	1.0713400740E+4	2.0340471372E-4
1.0051136166E-3	8.6063583244E+2	2.2963989267E-4
1.2478695220E-3	1.5050564155E+3	2.5587124334E-4
1.5168546797E-3	4.5458672270E+3	2.8209832342E-4
1.8120645986E-3	3.8848999341E+3	3.0832069259E-4
2.1334943481E-3	2.0904200367E+3	3.3453791144E-4
2.4811385584E-3	1.8820157404E+3	3.6074954110E-4
2.8549914211E-3	2.0194438520E+3	3.8695514312E-4
3.2550466893E-3	1.5576038385E+3	4.1315427928E-4
3.6812976783E-3	1.0348028009E+3	4.3934651156E-4
4.1337372652E-3	6.9997427167E+2	4.6553140213E-4
4.6123578895E-3	4.2860074817E+2	4.9170851331E-4
5.1171515529E-3	2.1756056339E+2	5.1787740760E-4
5.6481098199E-3	9.6499648755E+1	5.4403764760E-4
6.2052238176E-3	5.1067180193E+1	5.7018879612E-4
6.7884842360E-3	6.1141740525E+1	5.9633041614E-4
7.3978813281E-3	1.0666791200E+2	6.2246207073E-4
8.0334049101E-3	1.6649063125E+2	6.4858332323E-4
8.6950443616E-3	2.2296224449E+2	6.7469373705E-4
9.3827886258E-3	2.6356062863E+2	7.0079287589E-4
1.0096626210E-2	2.8177175378E+2	7.2688030358E-4
1.0836545184E-2	2.7645275720E+2	7.5295558414E-4
1.1602533184E-2	2.5104817790E+2	7.7901828182E-4
1.2394577408E-2	2.1158037711E+2	8.0506796108E-4
1.3212664621E-2	1.6515712386E+2	8.3110418659E-4
1.4056781152E-2	1.1868620833E+2	8.5712652325E-4
1.4926912893E-2	7.7531794562E+1	8.8313453619E-4
1.5823045305E-2	4.5247198624E+1	9.0912779076E-4
1.6745163410E-2	2.3293653964E+1	9.3510585261E-4
1.7693251801E-2	1.1355816196E+1	9.6106828758E-4
1.8667294632E-2	7.8714926948E+0	9.8701466182E-4
1.9667275626E-2	1.0579392287E+1	1.0129445417E-3
2.0693178073E-2	1.7046471288E+1	1.0388574939E-3
2.1744984827E-2	2.5067242025E+1	1.0647530855E-3
2.2822678313E-2	3.2872835240E+1	1.0906308836E-3
2.3926240519E-2	3.9234886994E+1	1.1164904558E-3
2.5055653005E-2	4.3463341348E+1	1.1423313699E-3
2.6210896896E-2	4.5336128139E+1	1.1681531941E-3
2.7391952886E-2	4.5003974546E+1	1.1939554970E-3
2.8598801239E-2	4.2829743526E+1	1.2197378472E-3
2.9831421786E-2	3.9307591856E+1	1.2454998140E-3
3.1089793929E-2	3.4925940229E+1	1.2712409668E-3
3.2373896638E-2	3.0125057041E+1	1.2969608754E-3
3.3683708455E-2	2.5269260689E+1	1.3226591101E-3
3.5019207490E-2	2.0623488575E+1	1.3483352414E-3
3.6380371427E-2	1.6371288478E+1	1.3739888402E-3
3.7767177517E-2	1.2629975968E+1	1.3996194778E-3
3.9179602586E-2	9.4546020046E+0	1.4252267258E-3
4.0617623030E-2	6.8532153801E+0	1.4508101565E-3
4.2081214817E-2	4.7982423130E+0	1.4763693421E-3
4.3570353490E-2	3.2352366233E+0	1.5019038556E-3
4.5085014162E-2	2.0930351114E+0	1.5274132703E-3
4.6625171522E-2	1.3007812484E+0	1.5528971598E-3
4.8190799831E-2	7.9017151925E-1	1.5783550984E-3
4.9781872927E-2	5.0082643834E-1	1.6037866605E-3
5.1398364219E-2	3.8195505577E-1	1.6291914212E-3
5.3040246694E-2	3.9106607696E-1	1.6545689559E-3
5.4707492914E-2	4.9145670924E-1	1.6799188405E-3
5.6400075017E-2	6.5212461100E-1	1.7052406515E-3
5.8117964718E-2	8.4650425045E-1	1.7305339655E-3
5.9861133308E-2	1.0538056514E+0	1.7557983600E-3
6.1629551657E-2	1.2577232392E+0	1.7810334128E-3
6.3423190212E-2	1.4484238834E+0	1.8062387021E-3
6.5242019000E-2	1.6202709588E+0	1.8314138067E-3
6.7086007624E-2	1.7714596748E+0	1.8565583060E-3
6.8955125270E-2	1.9023593247E+0	1.8816717796E-3
7.0849340702E-2	2.0127578461E+0	1.9067538080E-3
7.2768622264E-2	2.1040024601E+0	1.9318039720E-3
7.4712937885E-2	2.1744393383E+0	1.9568218529E-3
7.6682255070E-2	2.2236799293E+0	1.9818070327E-3
7.8676540910E-2	2.2517774357E+0	2.0067590939E-3
8.0695762079E-2	2.2578600705E+0	2.0316776194E-3
8.2739884832E-2	2.2448864759E+0	2.0565621928E-3
8.4808875009E-2	2.2158721043E+0	2.0814123983E-3
8.6902698034E-2	2.1744644592E+0	2.1062278206E-3
8.9021318917E-2	2.1245637848E+0	2.1310080450E-3
9.1164702253E-2	2.0702047831E+0	2.1557526574E-3
9.3332812224E-2	2.0136143015E+0	2.1804612443E-3
9.5525612596E-2	1.9555551266E+0	2.2051333928E-3
9.7743066726E-2	1.8956949225E+0	2.2297686905E-3
9.9985137556E-2	1.8336985614E+0	2.2543667257E-3
1.0225178762E-1	1.7683513144E+0	2.2789270875E-3
1.0454297904E-1	1.6997380319E+0	2.3034493653E-3
1.0685867352E-1	1.6268343668E+0	2.3279331494E-3
1.0919883237E-1	1.5515886306E+0	2.3523780306E-3
1.1156341648E-1	1.4753049618E+0	2.3767836004E-3
1.1395238633E-1	1.3998086631E+0	2.4011494510E-3
1.1636570200E-1	1.3268676004E+0	2.4254751751E-3
1.1880332317E-1	1.2581632286E+0	2.4497603662E-3
1.2126520909E-1	1.1945619564E+0	2.4740046186E-3
1.2375131862E-1	1.1355140130E+0	2.4982075270E-3
1.2626161023E-1	1.0807863613E+0	2.5223686871E-3
1.2879604195E-1	1.0290074681E+0	2.5464876949E-3
1.3135457143E-1	9.7912350457E-1	2.5705641475E-3
1.3393715592E-1	9.3025722127E-1	2.5945976426E-3
1.3654375226E-1	8.8131864245E-1	2.6185877784E-3
1.3917431689E-1	8.3241202475E-1	2.6425341541E-3
1.4182880585E-1	7.8392065986E-1	2.6664363695E-3
1.4450717478E-1	7.3634250314E-1	2.6902940251E-3
1.4720937892E-1	6.9070849092E-1	2.7141067224E-3
1.4993537310E-1	6.4787347428E-1	2.7378740632E-3
1.5268511179E-1	6.0851668827E-1	2.7615956505E-3
1.5545854902E-1	5.7311722602E-1	2.7852710878E-3
1.5825563845E-1	5.4116250644E-1	2.8088999795E-3
1.6107633333E-1	5.1264503199E-1	2.8324819307E-3
1.6392058653E-1	4.8681917175E-1	2.8560165473E-3
1.6678835052E-1	4.6273721405E-1	2.8795034361E-3
1.6967957737E-1	4.3975379937E-1	2.9029422044E-3
1.7259421876E-1	4.1719880312E-1	2.9263324607E-3
1.7553222599E-1	3.9451728561E-1	2.9496738141E-3
1.7849354996E-1	3.7165063624E-1	2.9729658744E-3
1.8147814117E-1	3.4895909353E-1	2.9962082525E-3
1.8448594977E-1	3.2649976766E-1	3.0194005599E-3
1.8751692548E-1	3.0486379073E-1	3.0425424091E-3
1.9057101764E-1	2.8457604801E-1	3.0656334132E-3
1.9364817522E-1	2.6601067498E-1	3.0886731866E-3
1.9674834681E-1	2.4946077257E-1	3.1116613440E-3
1.9987148058E-1	2.3492630203E-1	3.1345975014E-3
2.0301752435E-1	2.2230964928E-1	3.1574812755E-3
2.0618642554E-1	2.1137480306E-1	3.1803122838E-3
2.0937813120E-1	2.0170951787E-1	3.2030901448E-3
2.1259258799E-1	1.9286477729E-1	3.2258144779E-3
2.1582974219E-1	1.8437219014E-1	3.2484849032E-3
2.1908953970E-1	1.7584192337E-1	3.2711010421E-3
2.2237192605E-1	1.6714617456E-1	3.2936625164E-3
2.2567684639E-1	1.5805133823E-1	3.3161689492E-3
2.2900424548E-1	1.4867956953E-1	3.3386199643E-3
2.3235406772E-1	1.3910355855E-1	3.3610151867E-3
2.3572625713E-1	1.2964881836E-1	3.3833542419E-3
2.3912075735E-1	1.2054105124E-1	3.4056367567E-3
2.4253751167E-1	1.1206421477E-1	3.4278623588E-3
2.4597646298E-1	1.0440678727E-1	3.4500306767E-3
2.4943755380E-1	9.7740561023E-2	3.4721413399E-3
2.5292072631E-1	9.2085994154E-2	3.4941939790E-3
2.5642592230E-1	8.7444360373E-2	3.5161882254E-3
2.5995308318E-1	8.3625001786E-2	3.5381237115E-3
2.6350215001E-1	8.0471092113E-2	3.5600000709E-3
2.6707306349E-1	7.7735064725E-2	3.5818169379E-3
2.7066576394E-1	7.5176912359E-2	3.6035739479E-3
2.7428019131E-1	7.2589746147E-2	3.6252707373E-3
2.7791628522E-1	6.9833253632E-2	3.6469069436E-3
2.8157398488E-1	6.6739744509E-2	3.6684822051E-3
2.8525322919E-1	6.3375391252E-2	3.6899961614E-3
2.8895395665E-1	5.9671425849E-2	3.7114484529E-3
2.9267610542E-1	5.5764739913E-2	3.7328387211E-3
2.9641961330E-1	5.1761416296E-2	3.7541666086E-3
3.0018441773E-1	4.7842013048E-2	3.7754317588E-3
3.0397045579E-1	4.4131044605E-2	3.7966338166E-3
3.0777766421E-1	4.0761314310E-2	3.8177724274E-3
3.1160597938E-1	3.7826563997E-2	3.8388472382E-3
3.1545533730E-1	3.5424889164E-2	3.8598578967E-3
3.1932567367E-1	3.3489997713E-2	3.8808040517E-3
3.2321692379E-1	3.2059328843E-2	3.9016853533E-3
3.2712902264E-1	3.1029932250E-2	3.9225014525E-3
3.3106190484E-1	3.0315187772E-2	3.9432520014E-3
3.3501550468E-1	2.9779909530E-2	3.9639366533E-3
3.3898975607E-1	2.9313753705E-2	3.9845550624E-3
3.4298459261E-1	2.8800694395E-2	4.0051068843E-3
3.4699994753E-1	2.8159105358E-2	4.0255917754E-3
3.5103575373E-1	2.7332592696E-2	4.0460093936E-3
3.5509194378E-1	2.6247082802E-2	4.0663593974E-3
3.5916844988E-1	2.4951559395E-2	4.0866414469E-3
3.6326520391E-1	2.3448170079E-2	4.1068552032E-3
3.6738213741E-1	2.1784204476E-2	4.1270003283E-3
3.7151918157E-1	2.0047222758E-2	4.1470764858E-3
3.7567626728E-1	1.8306195029E-2	4.1670833400E-3
3.7985332504E-1	1.6638407024E-2	4.1870205567E-3
3.8405028507E-1	1.5120613771E-2	4.2068878026E-3
3.8826707721E-1	1.3810232959E-2	4.2266847457E-3
3.9250363101E-1	1.2740014705E-2	4.2464110553E-3
3.9675987567E-1	1.1931505458E-2	4.2660664016E-3
4.0103574005E-1	1.1379569548E-2	4.2856504563E-3
4.0533115271E-1	1.1067316033E-2	4.3051628919E-3
4.0964604185E-1	1.0949754648E-2	4.3246033825E-3
4.1398033538E-1	1.0974996507E-2	4.3439716031E-3
4.1833396086E-1	1.1081158312E-2	4.3632672302E-3
4.2270684554E-1	1.1206899763E-2	4.3824899412E-3
